FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt),bh3
82,0,0,16.55,36.77,46.24,31.58,24.47,26.26,33.98,27.45,44.55,61.22,1050,1050,1050,1050,2400,2400,2400,2650,78.20,6400,97.00,852,64,38.70,1962,3.901
91,0,0,16.55,40.20,46.32,34.00,30.69,33.00,31.68,25.51,48.00,70.87,1600,1600,1600,1600,2100,2100,2100,2300,75.70,5500,93.00,642,64,38.70,1843,3.901
85,0,0,33.01,43.10,53.68,41.05,37.89,38.78,27.84,20.20,51.55,76.34,1900,1900,1900,1900,2450,2450,2450,2850,76.80,6400,93.00,800,64,38.70,1843,3.901
55,0,0,33.01,46.09,57.29,52.53,51.49,48.51,19.19,13.46,49.50,77.36,1300,1300,1300,1300,2450,2450,2450,2850,77.60,6400,98.00,852,64,38.70,1843,3.908
58,1,0,65.97,40.79,51.04,33.67,27.55,26.60,33.33,27.55,48.00,77.55,1800,1800,1800,1800,2100,2100,2100,2300,77.60,6400,95.00,852,64,38.70,1973,3.908
53,0,0,24.77,39.74,41.76,32.65,34.02,28.87,34.78,30.93,44.00,67.33,950,950,950,950,2450,2450,2450,2850,78.10,6400,99.00,852,64,38.70,1973,3.908
48,0,0,74.26,33.42,40.86,29.47,22.11,26.32,27.84,23.47,36.73,63.00,1000,1000,1000,1000,2100,2100,2100,2300,78.80,5500,98.00,555,64,38.70,1973,3.908
83,0,0,24.77,48.20,50.54,35.79,30.21,34.02,48.48,40.40,52.00,91.92,1250,1250,1250,1250,1400,1400,1400,1600,75.70,6400,92.00,852,64,38.70,1847,3.888
67,0,0,33.01,37.71,47.78,32.26,29.90,31.58,30.53,27.37,38.14,64.58,950,950,950,950,2450,2450,2450,2850,77.40,6400,93.00,852,64,38.70,1847,3.888
77,0,0,16.53,39.33,47.37,40.57,26.32,31.00,37.00,32.69,35.00,63.46,1250,1250,1250,1250,2400,2400,2400,2650,79.00,6400,96.00,852,64,38.70,1847,3.888
78,1,0,41.26,33.59,48.96,30.11,25.26,27.55,25.26,21.88,30.61,57.73,1150,1150,1150,1150,2450,2450,2450,2850,78.10,6400,99.00,852,64,38.70,1970,3.876
69,1,0,49.52,33.94,43.33,27.47,24.74,23.96,28.28,25.00,32.32,67.33,1600,1600,1600,1600,2450,2450,2450,2850,81.00,6400,99.00,852,64,38.70,1970,3.876
46,0,0,49.52,37.86,46.74,44.44,34.38,34.74,27.00,16.84,38.38,60.82,1100,1100,1100,1100,2450,2450,2450,2850,79.10,6400,99.00,852,64,38.70,1970,3.876
38,0,0,57.78,32.95,44.21,35.71,23.91,27.08,26.04,20.00,29.59,53.54,1400,1400,1400,1400,2450,2450,2450,2850,81.40,6400,99.00,852,64,38.70,2077,3.876
44,0,0,41.26,36.48,48.00,32.29,33.67,27.08,31.37,25.49,36.63,55.88,1100,1100,1100,1100,2400,2400,2400,2650,79.50,6400,99.00,852,64,38.70,2077,3.873
45,0,0,49.52,39.32,52.08,43.75,31.25,35.42,30.93,21.28,36.08,65.66,2000,2000,2000,2000,2450,2450,2450,2850,79.80,6400,97.00,852,64,38.70,2077,3.873
47,0,0,24.79,39.55,48.39,38.61,34.00,31.37,30.61,23.96,40.59,67.65,1400,1400,1400,1400,2100,2100,2100,2300,79.50,6400,99.00,852,64,38.70,2085,3.873
45,0,0,33.01,34.98,44.79,30.34,27.08,28.13,26.32,24.75,37.76,59.38,2000,2000,2000,2000,2450,2450,2450,2850,84.00,6400,99.00,852,64,38.70,2085,3.877
39,0,0,41.23,31.18,43.01,30.61,24.21,22.92,27.27,15.05,31.63,53.47,2000,2000,2000,2000,2450,2450,2450,2850,79.80,6400,99.00,852,64,38.70,2085,3.877
55,0,0,41.29,39.20,47.25,34.02,29.17,30.21,33.33,29.00,42.00,67.68,1400,1400,1400,1400,1400,1400,1400,1600,79.40,6400,99.00,852,64,38.70,2025,3.877
80,0,0,24.76,46.96,52.75,34.07,29.47,31.91,44.79,38.04,52.63,89.69,950,950,950,950,2400,2400,2400,2650,80.60,6400,96.00,852,64,38.70,2025,3.877
63,0,0,24.80,38.27,49.48,35.71,29.17,34.00,28.57,26.00,41.58,63.64,2000,2000,2000,2000,2450,2450,2450,2850,79.90,6400,99.00,852,64,38.70,2025,3.872
50,0,0,24.78,35.36,53.76,37.36,29.55,35.11,18.95,13.40,39.60,55.56,1400,1400,1400,1400,2450,2450,2450,2850,81.00,6400,99.00,852,64,38.70,2118,3.872
42,0,0,33.05,40.41,53.61,55.00,48.48,49.48,7.37,9.00,42.00,55.67,1700,1700,1700,1700,2450,2450,2450,2850,81.10,6400,99.00,852,64,38.70,2118,3.872
49,0,0,24.80,44.35,58.76,52.04,53.27,53.54,11.46,5.15,49.49,69.00,1600,1600,1600,1600,2200,2200,2200,2400,80.80,6400,99.00,852,64,38.70,2118,3.872
57,0,0,24.79,34.78,45.26,34.00,30.61,26.60,23.96,19.39,35.24,63.73,2000,2000,2000,2000,2400,2400,2400,2650,79.30,6400,95.00,852,64,38.70,1951,3.876
66,1,0,66.01,34.82,43.75,31.63,23.71,27.84,30.69,23.00,38.24,60.61,1600,1600,1600,1600,1700,1700,1700,1900,78.90,6400,99.00,852,64,38.70,1951,3.876
